SMILES Name NAME_Match
CC1(C)C(Nc2ncnc3[nH]c(C(F)F)nc23)CS1(=O)=O PV-003626459133 Adenine-Sulfone
CC1(C)C(Nc2ncnc3c2ncn3C2CC2)CS1(=O)=O Z2212438002 Adenine-Sulfone
CC1(C)CC(Nc2nc(F)nc3[nH]cnc23)CCS1(=O)=O PV-006983883176 Adenine-Sulfone
CC1(C)[C@@H](Nc2ncnc3[nH]c(C(F)F)nc23)CS1(=O)=O PV-003626459134 Adenine-Sulfone
CC1(C)[C@@H](Nc2ncnc3c2ncn3C2CC2)CS1(=O)=O Z3393222475 Adenine-Sulfone
CC1(CNc2nc(F)nc3[nH]cnc23)CCS(=O)(=O)CC1 PV-007078987614 Adenine-Sulfone
CC1(CNc2ncnc3[nH]c(C(F)F)nc23)CS(=O)(=O)C1 PV-003611965194 Adenine-Sulfone
CC1(CNc2ncnc3c2ncn3C2CC2)CS(=O)(=O)C1 Z3394823404 Adenine-Sulfone
CC1(CS(C)(=O)=O)CCN(c2ncnc3[nH]cnc23)CC1 Z3561968387 Adenine-Sulfone
CC1CC(C)(CS(=O)(=O)Nc2ncnc3ncn(C)c23)C1 Z4216830355 Adenine-Sulfone
CC1CC(CNc2nc(F)nc3[nH]cnc23)CCS1(=O)=O PV-006763088195 Adenine-Sulfone
CC1CS(=O)(=O)CCN1c1ncnc2c1ncn2C(C)C Z5533748034 Adenine-Sulfone
CCC(CS(C)(=O)=O)Nc1ncnc2[nH]c(C(F)F)nc12 PV-003121426053 Adenine-Sulfone
CCC(CS(C)(=O)=O)Nc1ncnc2c1ncn2C(C)C Z5533917626 Adenine-Sulfone
CCC(CS(C)(=O)=O)Nc1ncnc2c1ncn2C1CC1 Z3078947608 Adenine-Sulfone
CCC1(CC)CN(c2ncnc3[nH]cnc23)CCS1(=O)=O Z2409577704 Adenine-Sulfone
CCC1CN(c2nc(C)nc3[nH]cnc23)CC(C)S1(=O)=O Z5333259560 Adenine-Sulfone
CCN(CCS(C)(=O)=O)c1ncnc2[nH]c(C(F)F)nc12 PV-003457418622 Adenine-Sulfone
CCN(CCS(C)(=O)=O)c1ncnc2c1ncn2C(C)C Z5533792282 Adenine-Sulfone
CCN(CCS(C)(=O)=O)c1ncnc2c1ncn2C1CC1 Z2212424558 Adenine-Sulfone
CCS(=O)(=O)C1(CNc2nc(C)nc3[nH]c(C)nc23)CC1 PV-007056461782 Adenine-Sulfone
CCS(=O)(=O)C1CCN(c2nc(C)nc3[nH]cnc23)CC1 Z5333091985 Adenine-Sulfone
CCS(=O)(=O)C1CN(c2ncnc3c2ncn3C(C)C)C1 Z5533853553 Adenine-Sulfone
CCS(=O)(=O)CC(C)Nc1ncnc2[nH]c(C(F)F)nc12 PV-003733008207 Adenine-Sulfone
CCS(=O)(=O)CC(C)Nc1ncnc2c1ncn2C(C)C Z5533742403 Adenine-Sulfone
CCS(=O)(=O)CC(C)Nc1ncnc2c1ncn2C1CC1 Z2212404396 Adenine-Sulfone
CCS(=O)(=O)CC1CCN(c2ncnc3[nH]cnc23)CC1 Z4081339334 Adenine-Sulfone
CCS(=O)(=O)CCCNc1ncnc2c1ncn2C(C)C Z5533856541 Adenine-Sulfone
CCS(=O)(=O)CCCNc1ncnc2c1ncn2C1CC1 Z2348383030 Adenine-Sulfone
CCS(=O)(=O)CCN(C)c1ncnc2[nH]c(C(F)F)nc12 PV-003172481299 Adenine-Sulfone
CCS(=O)(=O)CCN(C)c1ncnc2c1ncn2C(C)C Z5533797890 Adenine-Sulfone
CCS(=O)(=O)CCN(C)c1ncnc2c1ncn2C1CC1 Z2212426025 Adenine-Sulfone
CCS(=O)(=O)CCNc1ncnc2[nH]c(C(F)F)nc12 PV-003436717687 Adenine-Sulfone
CCS(=O)(=O)c1ccc(CNc2ncnc3[nH]cnc23)s1 Z1958315995 Adenine-Sulfone
CCc1ccc(S(=O)(=O)Nc2ncnc3ncn(C)c23)s1 Z4216831190 Adenine-Sulfone
CCn1cnc2c(N(C)C(C)CS(=O)(=O)CC)ncnc21 Z1192191524 Adenine-Sulfone
CCn1cnc2c(N(C)CC(C)(C)S(C)(=O)=O)ncnc21 Z1546936345 Adenine-Sulfone
CCn1cnc2c(NC(C)(C)CCS(C)(=O)=O)ncnc21 Z1272629594 Adenine-Sulfone
CCn1cnc2c(NC(C)C3(S(C)(=O)=O)CC3)ncnc21 Z2094445143 Adenine-Sulfone
CCn1cnc2c(NC3CC(CS(C)(=O)=O)C3)ncnc21 Z3832287398 Adenine-Sulfone
CCn1cnc2c(NC3CCC(C)S(=O)(=O)C3)ncnc21 Z2614983225 Adenine-Sulfone
CCn1cnc2c(NC3CCC(S(C)(=O)=O)C3)ncnc21 Z3078112965 Adenine-Sulfone
CCn1cnc2c(NC3CCS(=O)(=O)C(C)C3)ncnc21 Z2976273667 Adenine-Sulfone
CCn1cnc2c(NCC(C)(C)CS(C)(=O)=O)ncnc21 Z2975446818 Adenine-Sulfone
CCn1cnc2c(NCC3(CS(C)(=O)=O)CC3)ncnc21 Z1365759112 Adenine-Sulfone
CCn1cnc2c(NCC3(S(=O)(=O)CC)CC3)ncnc21 Z2615646209 Adenine-Sulfone
CCn1cnc2c(NCC3(S(C)(=O)=O)CCC3)ncnc21 Z1958559118 Adenine-Sulfone
CCn1cnc2c(NCC3CC(S(C)(=O)=O)C3)ncnc21 Z4456134133 Adenine-Sulfone
CCn1cnc2c(NCC3CCCCS3(=O)=O)ncnc21 Z1652317774 Adenine-Sulfone
CCn1cnc2c(NCC3CCCS(=O)(=O)C3)ncnc21 Z2143300280 Adenine-Sulfone
CCn1cnc2c(NCC3CCS(=O)(=O)CC3)ncnc21 Z1517708794 Adenine-Sulfone
CCn1cnc2c(NCCC(C)(C)S(C)(=O)=O)ncnc21 Z2348243558 Adenine-Sulfone
CCn1cnc2c(NCCC3CCCS3(=O)=O)ncnc21 Z2852305421 Adenine-Sulfone
CCn1cnc2c(NCCS(=O)(=O)C(C)(C)C)ncnc21 Z1192178799 Adenine-Sulfone
CCn1cnc2c(NCCS(=O)(=O)CC3CC3)ncnc21 Z1439622033 Adenine-Sulfone
CCn1cnc2c(NC[C@H]3C[C@H](S(C)(=O)=O)C3)ncnc21 Z4390671039 Adenine-Sulfone
CCn1cnc2c(N[C@H]3C[C@@H](CS(C)(=O)=O)C3)ncnc21 Z3832303254 Adenine-Sulfone
CCn1cnc2c(N[C@H]3C[C@H](CS(C)(=O)=O)C3)ncnc21 Z3832295163 Adenine-Sulfone
CN(CCCS(C)(=O)=O)c1ncnc2[nH]c(C(F)F)nc12 PV-003763068265 Adenine-Sulfone
CN(CCCS(C)(=O)=O)c1ncnc2c1ncn2C1CC1 Z2212425845 Adenine-Sulfone
CS(=O)(=O)C1(CNc2nc(F)nc3[nH]cnc23)CCCC1 PV-006933906366 Adenine-Sulfone
CS(=O)(=O)C1(CNc2ncnc3[nH]c(C(F)F)nc23)CC1 PV-003860524213 Adenine-Sulfone
CS(=O)(=O)C1(CNc2ncnc3[nH]cnc23)CCCCC1 Z2615069863 Adenine-Sulfone
CS(=O)(=O)C1(CNc2ncnc3c2ncn3C2CC2)CC1 Z2212443419 Adenine-Sulfone
CS(=O)(=O)C1CC(Nc2ncnc3[nH]c(C(F)F)nc23)C1 PV-006915601937 Adenine-Sulfone
CS(=O)(=O)C1CC(Nc2ncnc3c2ncn3C2CC2)C1 Z5373310450 Adenine-Sulfone
CS(=O)(=O)C1CCC(CNc2ncnc3[nH]cnc23)CC1 Z4137190877 Adenine-Sulfone
CS(=O)(=O)C1CCCC(Nc2nc(F)nc3[nH]cnc23)C1 PV-006985683594 Adenine-Sulfone
CS(=O)(=O)C1CCCCCN(c2ncnc3[nH]cnc23)C1 Z3561338110 Adenine-Sulfone
CS(=O)(=O)CC1(CCNc2nc(F)nc3[nH]cnc23)CC1 PV-007127957687 Adenine-Sulfone
CS(=O)(=O)CC1(CNc2nc(F)nc3[nH]cnc23)CCC1 PV-007037083451 Adenine-Sulfone
CS(=O)(=O)CC1CCC(Nc2ncnc3[nH]cnc23)CC1 Z2273059905 Adenine-Sulfone
CS(=O)(=O)CCCCNc1ncnc2c1ncn2C1CC1 Z2409712885 Adenine-Sulfone
CS(=O)(=O)CCCNc1nc(C(F)(F)F)nc2[nH]cnc12 Z1883170467 Adenine-Sulfone
CS(=O)(=O)CCCNc1ncnc2[nH]c(C(F)(F)F)nc12 PV-004430181471 Adenine-Sulfone
CS(=O)(=O)CCCNc1ncnc2[nH]c(C(F)F)nc12 PV-005498714949 Adenine-Sulfone
CS(=O)(=O)Cc1ccc(Nc2ncnc3[nH]cnc23)cc1 PV-002816711135 Adenine-Sulfone
CS(=O)(=O)[C@H]1CC[C@@H](Nc2nc(F)nc3[nH]cnc23)CC1 PV-007123818617 Adenine-Sulfone
CS(=O)(=O)[C@H]1C[C@H](Nc2ncnc3[nH]c(C(F)F)nc23)C1 PV-003419400912 Adenine-Sulfone
CS(=O)(=O)[C@H]1C[C@H](Nc2ncnc3c2ncn3C2CC2)C1 Z2852556422 Adenine-Sulfone
CS(=O)(=O)c1ccc(-c2nc3c(N)ncnc3[nH]2)c(F)c1 PV-006878268737 Adenine-Sulfone
CS(=O)(=O)c1ccc(CNc2ncnc3[nH]cnc23)cc1 Z644879672 Adenine-Sulfone
CS(=O)(=O)c1cccc(CNc2ncnc3[nH]cnc23)c1 Z4137191040 Adenine-Sulfone
CS(=O)(=O)c1ccccc1CNc1ncnc2[nH]cnc12 Z4137190371 Adenine-Sulfone
CS(=O)(=O)c1ccsc1CNc1ncnc2[nH]cnc12 Z3276409386 Adenine-Sulfone
CS(=O)(=O)c1sccc1CNc1ncnc2[nH]cnc12 Z3063803506 Adenine-Sulfone
C[C@@H]1C[C@@H](CNc2nc(F)nc3[nH]cnc23)CCS1(=O)=O PV-006763088194 Adenine-Sulfone
C[C@@H]1C[C@@H]1CCCS(=O)(=O)Nc1ncnc2ncn(C)c12 Z4526026725 Adenine-Sulfone
C[C@@H]1[C@H](Nc2ncnc3[nH]c(C(F)F)nc23)CCS1(=O)=O PV-003190182390 Adenine-Sulfone
C[C@@H]1[C@H](Nc2ncnc3c2ncn3C2CC2)CCS1(=O)=O Z2701064855 Adenine-Sulfone
Cc1cc(C)c(S(=O)(=O)Nc2ncnc3ncn(C)c23)s1 Z4216830701 Adenine-Sulfone
Cc1cc(S(=O)(=O)Nc2ncnc3ncn(C)c23)c(C)s1 Z4216831363 Adenine-Sulfone
Cc1cc(S(=O)(=O)Nc2ncnc3ncn(C)c23)sc1C Z4216830922 Adenine-Sulfone
Cc1ccc(CS(=O)(=O)c2nc3c(N)ncnc3[nH]2)cc1 PV-003467157022 Adenine-Sulfone
Cc1ccc(S(=O)(=O)Nc2ncnc3ncn(C)c23)cc1 PV-002741505281 Adenine-Sulfone
Cc1cccc(CS(=O)(=O)c2nc3c(N)ncnc3[nH]2)c1 PV-003620367224 Adenine-Sulfone
Cc1cccc(S(=O)(=O)Nc2ncnc3ncn(C)c23)c1 PV-003265982411 Adenine-Sulfone
Cc1ccccc1CS(=O)(=O)c1nc2c(N)ncnc2[nH]1 PV-003069194383 Adenine-Sulfone
Cc1ccccc1S(=O)(=O)Nc1ncnc2ncn(C)c12 PV-002730509979 Adenine-Sulfone
Cc1csc(C)c1S(=O)(=O)Nc1ncnc2ncn(C)c12 Z4216830500 Adenine-Sulfone
Cc1csc(S(=O)(=O)Nc2nc(C)nc3ncn(C)c23)c1 Z4216836184 Adenine-Sulfone
Cc1nc(N(C)CC(C)(C)S(C)(=O)=O)c2[nH]c(C)nc2n1 Z5332847429 Adenine-Sulfone
Cc1nc(N2CCC(C)(C)S(=O)(=O)CC2)c2[nH]cnc2n1 Z5333097573 Adenine-Sulfone
Cc1nc(N2CCC(S(=O)(=O)C(C)C)C2)c2[nH]cnc2n1 Z5334375162 Adenine-Sulfone
Cc1nc(N2CCCC(S(C)(=O)=O)CC2)c2[nH]cnc2n1 Z5333179294 Adenine-Sulfone
Cc1nc(N2CCCCC(S(C)(=O)=O)C2)c2[nH]cnc2n1 Z5333090805 Adenine-Sulfone
Cc1nc(NC(C)C2(S(C)(=O)=O)CC2)c2[nH]c(C)nc2n1 PV-006919398768 Adenine-Sulfone
Cc1nc(NC(CS(C)(=O)=O)C(C)(C)C)c2[nH]cnc2n1 PV-007124114371 Adenine-Sulfone
Cc1nc(NC2CC(CS(C)(=O)=O)C2)c2[nH]c(C)nc2n1 PV-007091802019 Adenine-Sulfone
Cc1nc(NC2CC3CCC(C2)S3(=O)=O)c2[nH]cnc2n1 PV-006794441054 Adenine-Sulfone
Cc1nc(NC2CCC(C)S(=O)(=O)C2)c2[nH]c(C)nc2n1 PV-006968528072 Adenine-Sulfone
Cc1nc(NC2CCCC(S(C)(=O)=O)C2)c2[nH]cnc2n1 PV-007016161619 Adenine-Sulfone
Cc1nc(NC2CCS(=O)(=O)C(C)(C)C2)c2[nH]cnc2n1 PV-006942426954 Adenine-Sulfone
Cc1nc(NCC(C)(C)CS(C)(=O)=O)c2[nH]c(C)nc2n1 PV-006954342318 Adenine-Sulfone
Cc1nc(NCC2(C)CCS(=O)(=O)CC2)c2[nH]cnc2n1 PV-006878042606 Adenine-Sulfone
Cc1nc(NCC2(CS(C)(=O)=O)CC2)c2[nH]c(C)nc2n1 PV-006949121778 Adenine-Sulfone
Cc1nc(NCC2(CS(C)(=O)=O)CCC2)c2[nH]cnc2n1 PV-007037185040 Adenine-Sulfone
Cc1nc(NCC2(S(C)(=O)=O)CCC2)c2[nH]c(C)nc2n1 PV-006993386729 Adenine-Sulfone
Cc1nc(NCC2(S(C)(=O)=O)CCCC2)c2[nH]cnc2n1 PV-006950091091 Adenine-Sulfone
